   2.0000000267028639E-009 ,   2.0000000267028639E-009 ,   2.0000000267028639E-009
   2.0000000267028639E-009 ,   2.0000000267028639E-009 ,   1.6000000213622911E-009
   2.0000000267028639E-009 ,   2.0000000267028639E-009 ,   1.2000000160217184E-009
   2.0000000267028639E-009 ,   2.0000000267028639E-009 ,   8.0000001068114557E-010
   2.0000000267028639E-009 ,   2.0000000267028639E-009 ,   4.0000000534057278E-010
   2.0000000267028639E-009 ,   1.6000000213622911E-009 ,   2.0000000267028639E-009
   2.0000000267028639E-009 ,   1.6000000213622911E-009 ,   1.6000000213622911E-009
   2.0000000267028639E-009 ,   1.6000000213622911E-009 ,   1.2000000160217184E-009
   2.0000000267028639E-009 ,   1.6000000213622911E-009 ,   8.0000001068114557E-010
   2.0000000267028639E-009 ,   1.6000000213622911E-009 ,   4.0000000534057278E-010
   2.0000000267028639E-009 ,   1.2000000160217184E-009 ,   2.0000000267028639E-009
   2.0000000267028639E-009 ,   1.2000000160217184E-009 ,   1.6000000213622911E-009
   2.0000000267028639E-009 ,   1.2000000160217184E-009 ,   1.2000000160217184E-009
   2.0000000267028639E-009 ,   1.2000000160217184E-009 ,   8.0000001068114557E-010
   2.0000000267028639E-009 ,   1.2000000160217184E-009 ,   4.0000000534057278E-010
   2.0000000267028639E-009 ,   8.0000001068114557E-010 ,   2.0000000267028639E-009
   2.0000000267028639E-009 ,   8.0000001068114557E-010 ,   1.6000000213622911E-009
   2.0000000267028639E-009 ,   8.0000001068114557E-010 ,   1.2000000160217184E-009
   2.0000000267028639E-009 ,   8.0000001068114557E-010 ,   8.0000001068114557E-010
   2.0000000267028639E-009 ,   8.0000001068114557E-010 ,   4.0000000534057278E-010
   2.0000000267028639E-009 ,   4.0000000534057278E-010 ,   2.0000000267028639E-009
   2.0000000267028639E-009 ,   4.0000000534057278E-010 ,   1.6000000213622911E-009
   2.0000000267028639E-009 ,   4.0000000534057278E-010 ,   1.2000000160217184E-009
   2.0000000267028639E-009 ,   4.0000000534057278E-010 ,   8.0000001068114557E-010
   2.0000000267028639E-009 ,   4.0000000534057278E-010 ,   4.0000000534057278E-010
   1.6000000213622911E-009 ,   2.0000000267028639E-009 ,   2.0000000267028639E-009
   1.6000000213622911E-009 ,   2.0000000267028639E-009 ,   1.6000000213622911E-009
   1.6000000213622911E-009 ,   2.0000000267028639E-009 ,   1.2000000160217184E-009
   1.6000000213622911E-009 ,   2.0000000267028639E-009 ,   8.0000001068114557E-010
   1.6000000213622911E-009 ,   2.0000000267028639E-009 ,   4.0000000534057278E-010
   1.6000000213622911E-009 ,   1.6000000213622911E-009 ,   2.0000000267028639E-009
   1.6000000213622911E-009 ,   1.6000000213622911E-009 ,   1.6000000213622911E-009
   1.6000000213622911E-009 ,   1.6000000213622911E-009 ,   1.2000000160217184E-009
   1.6000000213622911E-009 ,   1.6000000213622911E-009 ,   8.0000001068114557E-010
   1.6000000213622911E-009 ,   1.6000000213622911E-009 ,   4.0000000534057278E-010
   1.6000000213622911E-009 ,   1.2000000160217184E-009 ,   2.0000000267028639E-009
   1.6000000213622911E-009 ,   1.2000000160217184E-009 ,   1.6000000213622911E-009
   1.6000000213622911E-009 ,   1.2000000160217184E-009 ,   1.2000000160217184E-009
   1.6000000213622911E-009 ,   1.2000000160217184E-009 ,   8.0000001068114557E-010
   1.6000000213622911E-009 ,   1.2000000160217184E-009 ,   4.0000000534057278E-010
   1.6000000213622911E-009 ,   8.0000001068114557E-010 ,   2.0000000267028639E-009
   1.6000000213622911E-009 ,   8.0000001068114557E-010 ,   1.6000000213622911E-009
   1.6000000213622911E-009 ,   8.0000001068114557E-010 ,   1.2000000160217184E-009
   1.6000000213622911E-009 ,   8.0000001068114557E-010 ,   8.0000001068114557E-010
   1.6000000213622911E-009 ,   8.0000001068114557E-010 ,   4.0000000534057278E-010
   1.6000000213622911E-009 ,   4.0000000534057278E-010 ,   2.0000000267028639E-009
   1.6000000213622911E-009 ,   4.0000000534057278E-010 ,   1.6000000213622911E-009
   1.6000000213622911E-009 ,   4.0000000534057278E-010 ,   1.2000000160217184E-009
   1.6000000213622911E-009 ,   4.0000000534057278E-010 ,   8.0000001068114557E-010
   1.6000000213622911E-009 ,   4.0000000534057278E-010 ,   4.0000000534057278E-010
   1.2000000160217184E-009 ,   2.0000000267028639E-009 ,   2.0000000267028639E-009
   1.2000000160217184E-009 ,   2.0000000267028639E-009 ,   1.6000000213622911E-009
   1.2000000160217184E-009 ,   2.0000000267028639E-009 ,   1.2000000160217184E-009
   1.2000000160217184E-009 ,   2.0000000267028639E-009 ,   8.0000001068114557E-010
   1.2000000160217184E-009 ,   2.0000000267028639E-009 ,   4.0000000534057278E-010
   1.2000000160217184E-009 ,   1.6000000213622911E-009 ,   2.0000000267028639E-009
   1.2000000160217184E-009 ,   1.6000000213622911E-009 ,   1.6000000213622911E-009
   1.2000000160217184E-009 ,   1.6000000213622911E-009 ,   1.2000000160217184E-009
   1.2000000160217184E-009 ,   1.6000000213622911E-009 ,   8.0000001068114557E-010
   1.2000000160217184E-009 ,   1.6000000213622911E-009 ,   4.0000000534057278E-010
   1.2000000160217184E-009 ,   1.2000000160217184E-009 ,   2.0000000267028639E-009
   1.2000000160217184E-009 ,   1.2000000160217184E-009 ,   1.6000000213622911E-009
   1.2000000160217184E-009 ,   1.2000000160217184E-009 ,   1.2000000160217184E-009
   1.2000000160217184E-009 ,   1.2000000160217184E-009 ,   8.0000001068114557E-010
   1.2000000160217184E-009 ,   1.2000000160217184E-009 ,   4.0000000534057278E-010
